Date,Open,High,Low,Close,Adj Close,Volume,VIX Close,10-year bond price, nasdaq Close,dow close,r2000 Close
12/19/1990,330.040009,330.799988,329.390015,330.200012,330.200012,180380000,23.08,8,371.200012,2626.72998,130.580002
12/20/1990,330.200012,330.73999,326.940002,330.119995,330.119995,174700000,23.129999,8.05,372.299988,2629.459961,130.720001
12/21/1990,330.119995,332.470001,330.119995,331.75,331.75,233400000,22.66,8.11,373.600006,2633.659912,130.850006
12/24/1990,331.73999,331.73999,329.160004,329.899994,329.899994,57200000,24.030001,8.2,372.399994,2621.290039,130.460007
12/26/1990,329.890015,331.690002,329.890015,330.850006,330.850006,78730000,24.18,8.15,372.399994,2637.129883,130.830002
12/27/1990,330.850006,331.040009,328.230011,328.290009,328.290009,102900000,24.809999,8.11,371.100006,2625.5,130.619995
12/28/1990,328.290009,328.720001,327.23999,328.720001,328.720001,111030000,25.049999,8.14,371.200012,2629.209961,130.460007
12/31/1990,328.709991,330.230011,327.5,330.220001,330.220001,114130000,26.379999,8.08,373.799988,2633.659912,132.199997
1/2/1991,330.200012,330.75,326.450012,326.450012,326.450012,126280000,26.620001,7.97,372.200012,2610.639893,131.649994
1/3/1991,326.459991,326.529999,321.899994,321.910004,321.910004,141450000,27.93,7.93,367.5,2573.51001,130.350006
1/4/1991,321.910004,322.350006,318.869995,321,321,140820000,27.190001,8.02,367.200012,2566.090088,130.210007
1/7/1991,320.970001,320.970001,315.440002,315.440002,315.440002,130610000,28.950001,8.13,360.200012,2522.77002,128.199997
1/8/1991,315.440002,316.970001,313.790009,314.899994,314.899994,143390000,30.379999,8.16,359,2509.409912,127.57
1/9/1991,314.899994,320.730011,310.929993,311.48999,311.48999,191100000,33.299999,8.25,357.5,2470.300049,126.709999
1/10/1991,311.51001,314.769989,311.51001,314.529999,314.529999,124510000,31.33,8.16,361.899994,2498.76001,127.559998
1/11/1991,314.529999,315.23999,313.589996,315.230011,315.230011,123050000,32.630001,8.2,361.799988,2501.48999,127.620003
1/14/1991,315.230011,315.230011,309.350006,312.48999,312.48999,120830000,36.200001,8.23,355.799988,2483.909912,125.389999
1/15/1991,312.48999,313.730011,311.839996,313.730011,313.730011,110000000,36.16,8.22,357.299988,2490.590088,125.25
1/16/1991,313.730011,316.940002,312.940002,316.170013,316.170013,134560000,33.200001,8.24,365.200012,2508.909912,126.800003
1/17/1991,316.25,327.970001,316.25,327.970001,327.970001,319080000,27.450001,8.05,375.799988,2623.51001,130.25
1/18/1991,327.929993,332.230011,327.079987,332.230011,332.230011,226770000,25.389999,8.03,377,2646.780029,129.839996
1/21/1991,332.230011,332.230011,328.869995,331.059998,331.059998,136290000,24.33,8.03,379.700012,2629.209961,130.339996
1/22/1991,331.059998,331.26001,327.829987,328.309998,328.309998,177060000,24.9,8.07,379,2603.219971,131.080002
1/23/1991,328.299988,331.040009,327.929993,330.209991,330.209991,168620000,23.92,8.04,383.899994,2619.060059,132.630005
1/24/1991,330.209991,335.829987,330.190002,334.779999,334.779999,223150000,22.860001,8,391.299988,2643.070068,135.039993
1/25/1991,334.779999,336.920013,334.200012,336.070007,336.070007,194350000,22.200001,8.06,394.299988,2659.409912,136.490005
1/28/1991,336.059998,337.410004,335.809998,336.029999,336.029999,141270000,23.049999,8.06,396.799988,2654.459961,137.800003
1/29/1991,336.029999,336.029999,334.26001,335.839996,335.839996,155740000,23.17,8.05,400.600006,2662.620117,139.220001
1/30/1991,335.799988,340.910004,335.709991,340.910004,340.910004,226790000,21.370001,8.05,408.5,2713.120117,142.029999
